Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1723064499,10,GET,get_users,1.700000,0.000000,26,27,28,28,31,31,31,31,31,31,31,29,0,28,49.36830275870181,23.166406001109863,179.00193400055286,1030.0
1723064499,10,POST,post_users for John,0.400000,0.000000,230,230,280,280,290,290,290,290,290,290,290,8,0,230.0,248.20636037475197,215.544865000993,286.7213030003768,78.0
1723064499,10,POST,post_users for Ken,0.700000,0.000000,220,230,230,230,230,230,230,230,230,230,230,9,0,230.0,233.3763393338207,214.54427000207943,319.637092998164,77.0
1723064499,10,POST,post_users for Sarah,0.500000,0.000000,230,230,230,230,230,230,230,230,230,230,230,8,0,220.0,223.6373281257329,215.59916800106294,233.91378200176405,79.0
1723064499,10,,Aggregated,3.300000,0.000000,31,220,230,230,230,280,290,290,290,290,290,54,0,91,135.31143225945587,23.166406001109863,319.637092998164,589.2407407407408
1723064500,10,GET,get_users,1.500000,0.000000,26,26,26,27,28,31,31,31,31,31,31,31,0,27,47.76604532256193,23.166406001109863,179.00193400055286,1030.0
1723064500,10,POST,post_users for John,0.600000,0.000000,230,230,280,280,290,290,290,290,290,290,290,9,0,230.0,246.03491133327933,215.544865000993,286.7213030003768,77.88888888888889
1723064500,10,POST,post_users for Ken,0.800000,0.000000,220,230,230,230,230,230,230,230,230,230,230,9,0,230.0,233.3763393338207,214.54427000207943,319.637092998164,77.0
1723064500,10,POST,post_users for Sarah,0.500000,0.000000,230,230,230,230,230,230,230,230,230,230,230,8,0,220.0,223.6373281257329,215.59916800106294,233.91378200176405,79.0
1723064500,10,,Aggregated,3.400000,0.000000,210,220,230,230,230,280,290,290,290,290,290,57,0,91,133.0622330878804,23.166406001109863,319.637092998164,595.719298245614
1723064501,10,GET,get_users,1.600000,0.000000,26,27,28,30,31,31,31,31,31,31,31,34,0,27,46.12300952955111,23.166406001109863,179.00193400055286,1030.0
1723064501,10,POST,post_users for John,0.500000,0.000000,230,230,280,280,290,290,290,290,290,290,290,9,0,230.0,246.03491133327933,215.544865000993,286.7213030003768,77.88888888888889
1723064501,10,POST,post_users for Ken,0.500000,0.000000,230,230,230,230,230,230,230,230,230,230,230,10,0,230.0,232.77282480048598,214.54427000207943,319.637092998164,77.0
1723064501,10,POST,post_users for Sarah,0.300000,0.000000,220,220,230,230,230,230,230,230,230,230,230,8,0,220.0,223.6373281257329,215.59916800106294,233.91378200176405,79.0
1723064501,10,,Aggregated,2.900000,0.000000,210,220,230,230,230,280,290,290,290,290,290,61,0,91,129.49710490188482,23.166406001109863,319.637092998164,608.5737704918033
1723064502,10,GET,get_users,1.600000,0.000000,26,27,28,30,31,31,31,31,31,31,31,35,0,27,45.47052240013727,23.166406001109863,179.00193400055286,1030.0
1723064502,10,POST,post_users for John,0.600000,0.000000,230,240,280,280,290,290,290,290,290,290,290,10,0,230.0,245.6265187000099,215.544865000993,286.7213030003768,77.9
1723064502,10,POST,post_users for Ken,0.500000,0.000000,230,230,230,230,230,230,230,230,230,230,230,12,0,230.0,232.65534325037152,214.54427000207943,319.637092998164,76.91666666666667
1723064502,10,POST,post_users for Sarah,0.300000,0.000000,220,220,230,230,230,230,230,230,230,230,230,8,0,220.0,223.6373281257329,215.59916800106294,233.91378200176405,79.0
1723064502,10,,Aggregated,3.000000,0.000000,220,230,230,230,240,280,290,290,290,290,290,65,0,91,132.74917253869577,23.166406001109863,319.637092998164,590.5230769230769
1723064503,10,GET,get_users,1.600000,0.000000,26,27,28,30,31,31,31,31,31,31,31,35,0,27,45.47052240013727,23.166406001109863,179.00193400055286,1030.0
1723064503,10,POST,post_users for John,0.600000,0.000000,230,240,280,280,290,290,290,290,290,290,290,10,0,230.0,245.6265187000099,215.544865000993,286.7213030003768,77.9
1723064503,10,POST,post_users for Ken,0.500000,0.000000,230,230,230,230,230,230,230,230,230,230,230,14,0,230.0,232.2842478572836,214.54427000207943,319.637092998164,76.92857142857143
1723064503,10,POST,post_users for Sarah,0.300000,0.000000,220,220,230,230,230,230,230,230,230,230,230,8,0,220.0,223.6373281257329,215.59916800106294,233.91378200176405,79.0
1723064503,10,,Aggregated,3.000000,0.000000,220,230,230,230,240,280,290,290,290,290,290,67,0,97,135.65390397033934,23.166406001109863,319.637092998164,575.1940298507462
1723064504,10,GET,get_users,1.400000,0.000000,25,26,27,30,31,31,31,31,31,31,31,36,0,27,44.88751750017804,23.166406001109863,179.00193400055286,1030.0
1723064504,10,POST,post_users for John,0.600000,0.000000,240,240,280,280,290,290,290,290,290,290,290,10,0,230.0,245.6265187000099,215.544865000993,286.7213030003768,77.9
